fecha,producto,categoria,cantidad,precio_unitario,vendedor
2026-06-01,Zapatilla Runner,Calzado,2,29990,Ana
2026-06-01,Polera Basica,Ropa,5,9990,Diego
2026-06-02,Zapatilla Runner,Calzado,1,29990,Ana
2026-06-03,Mochila Trek,Accesorios,3,19990,Camila
2026-06-03,Polera Basica,Ropa,2,9990,Ana
2026-06-04,Short Deportivo,Ropa,4,12990,Diego
2026-06-05,Zapatilla Runner,Calzado,3,29990,Camila
2026-06-06,Mochila Trek,Accesorios,1,19990,Ana
2026-06-07,Gorro Lana,Accesorios,6,5990,Diego
2026-06-08,Zapatilla Runner,Calzado,2,29990,Ana
2026-06-09,Polera Basica,Ropa,3,9990,Camila
2026-06-10,Short Deportivo,Ropa,2,12990,Ana
2026-06-11,Mochila Trek,Accesorios,2,19990,Diego
2026-06-12,Gorro Lana,Accesorios,4,5990,Camila
2026-06-13,Zapatilla Runner,Calzado,1,29990,Diego
2026-06-14,Polera Basica,Ropa,7,9990,Ana
2026-06-15,Short Deportivo,Ropa,1,12990,Camila
2026-06-16,Mochila Trek,Accesorios,3,19990,Ana
2026-06-17,Gorro Lana,Accesorios,2,5990,Diego
2026-06-18,Zapatilla Runner,Calzado,4,29990,Camila
